Description,LocID,Location,Status,Address,City,State,Country,Zip,Phone Number,Timezone,Long,Lat
Starbucks,2180-63228,Target Express Cupertino,Licensed,Mainstreet & Stevens Creek Blvd,Cupertino,CA,US,95014,,GMT-08:00 America/Los_Angeles,-122.01,37.32
Starbucks,1932-62039,John Daly & Westlake Center,Company Owned,"332 Westlake Center, 332",Daly City,CA,US,940151431,650-994-2948,GMT-08:00 America/Los_Angeles,-122.48,37.7
Starbucks,9448-95798,Railroad & Love,Company Owned,1 Railroad Blvd.,Danville,CA,US,945263873,925-743-1664,GMT-08:00 America/Los_Angeles,-122,37.82
Starbucks,1733-60387,Blackhawk Plaza,Company Owned,"4000 Blackhawk Plaza Circle, A1",Danville,CA,US,945064654,925-736-7662,GMT-08:00 America/Los_Angeles,-121.92,37.8
Starbucks,9623-64891,Target Davis T-2455,Licensed,4601 2nd St,Davis,CA,US,956189446,530-761-0126,GMT-08:00 America/Los_Angeles,-121.7,38.56
Starbucks,9747-25944,Safeway - Davis #1205,Licensed,1435 W. Covell,Davis,CA,US,956165932,530-757-4540,GMT-08:00 America/Los_Angeles,-121.77,38.56
Starbucks,9441-89820,3rd & F Street - Davis,Company Owned,208 F. Street,Davis,CA,US,956164515,530-753-6309,GMT-08:00 America/Los_Angeles,-121.74,38.54
Starbucks,4264-46475,Safeway - Dixon #1258,Licensed,"1235 Stratford Ave., Dixon Landing",Dixon,CA,US,956202024,707-678-7400,GMT-08:00 America/Los_Angeles,-121.84,38.46
Starbucks,7465-27742,I-80 & Pitt School - Dixon,Company Owned,"1450 Ary Lane, Suite F",Dixon,CA,US,956204413,707-693-1542,GMT-08:00 America/Los_Angeles,-121.84,38.46
Starbucks,3392-87228,Dublin Blvd & Regional St,Company Owned,7904 Dublin Blvd.,Dublin,CA,US,945682925,(925) 803-7520,GMT-08:00 America/Los_Angeles,-121.93,37.7
Starbucks,9893-70718,Fallon & 580,Company Owned,"2710 Dublin Blvd, Hacienda Crossings",Dublin,CA,US,94568,9257854051,GMT-08:00 America/Los_Angeles,-121.85,37.71
Starbucks,5169-36315,Safeway-El Cerrito #2940,Licensed,"11450 San Pablo Ave, El Cerrito Plaza",El Cerrito,CA,US,945301917,510-233-8400,GMT-08:00 America/Los_Angeles,-122.32,37.92
Starbucks,9535-93565,Appian & Valley View - El Sobrante,Company Owned,"454 Appian Way, G",El Sobrante,CA,US,948031671,510-223-3019,GMT-08:00 America/Los_Angeles,-122.3,37.98
Starbucks,4621-37086,Emeryville,Company Owned,3839 Emery Street,Emeryville,CA,US,946083662,(510) 547-8849,GMT-08:00 America/Los_Angeles,-122.28,37.83
Teavana,3380-96710,Teavana - Solano Town Center,Company Owned,"1350 Travis Blvd Store, No. L-2",Fairfield,CA,US,94533,707-422-1497,GMT-08:00 America/Los_Angeles,-122.05,38.26
Starbucks,4897-30435,Pittman & Central - Fairfield,Company Owned,"4490 Central Way, 100",Fairfield,CA,US,945341609,707-863-7344,GMT-08:00 America/Los_Angeles,-122.13,38.22
Starbucks,9848-73627,N. Texas & Dickson Hill,Company Owned,"3334 North Texas Street, Suite A",Fairfield,CA,US,945339776,(707) 435-8281,GMT-08:00 America/Los_Angeles,-122.03,38.29
Starbucks,7860-12370,Foster City & Marlin Cove - Foster,Company Owned,1066 Foster City Boulevard,Foster City,CA,US,944042301,650-341-4419,GMT-08:00 America/Los_Angeles,-122.26,37.55
Starbucks,5838-31776,Boscell & Auto Mall Pkwy,Company Owned,"5605 Automall Parkway, Warm Springs Plaza",Fremont,CA,US,945383133,510-657-7249,GMT-08:00 America/Los_Angeles,-121.98,37.5
Starbucks,3598-42674,Mission & Warm Springs Blvd,Company Owned,"46655 Mission Boulevard, 100",Fremont,CA,US,94539,510-661-9956,GMT-08:00 America/Los_Angeles,-121.93,37.49
Starbucks,9741-65924,Mission & Las Palmas,Company Owned,39981 Mission Blvd.,Fremont,CA,US,945393627,510-445-0729,GMT-08:00 America/Los_Angeles,-121.95,37.56
Starbucks,1519-19121,Fremont Blvd & Irvington,Company Owned,"41093 Fremont Blvd., MIssion Blvd. & Cedar Street",Fremont,CA,US,94538,510-979-9716,GMT-08:00 America/Los_Angeles,-121.96,37.53
Starbucks,2985-49819,Mission & Cedar,Company Owned,"43587 Mission Blvd., A-1",Fremont,CA,US,94539,510-623-9514,GMT-08:00 America/Los_Angeles,-121.92,37.53
Starbucks,5932-53886,Mowry & Blacow,Company Owned,"5034 Mowry Ave, H",Fremont,CA,US,945381045,510-818-9026,GMT-08:00 America/Los_Angeles,-122,37.53
Starbucks,3217-68480,Fremont Blvd & Nicolet,Company Owned,35674 Fremont Boulevard,Fremont,CA,US,945363420,(510) 742-7157,GMT-08:00 America/Los_Angeles,-122.03,37.57
Starbucks,2165-52691,Gilroy Town Place,Company Owned,"795 First Street, Gilroy Outlet Center",Gilroy,CA,US,950204918,(408) 847-5920,GMT-08:00 America/Los_Angeles,-121.59,37.01
Starbucks,1844-93487,Safeway - Guerneville #950,Licensed,16405 River Rd,Guerneville,CA,US,954469654,707-869-9433,GMT-08:00 America/Los_Angeles,-123,38.5
Starbucks,4484-19675,Hwy 1 & Belleville - Half Moon Bay,Company Owned,"80 Cabrillo Highway N, V",Half Moon Bay,CA,US,940191650,650-726-5753,GMT-08:00 America/Los_Angeles,-122.43,37.47
Starbucks,6649-60197,Target Hayward T-2185,Licensed,19661 Hesperian Blvd,Hayward,CA,US,945414200,510-731-0001,GMT-08:00 America/Los_Angeles,-122.12,37.67
Starbucks,3767-21648,Whipple & Industrial,Company Owned,2472-1 Whipple Road,Hayward,CA,US,945447808,510-489-2907,GMT-08:00 America/Los_Angeles,-122.06,37.61
Starbucks,7464-80315,Industrial & Hwy 92,Company Owned,25945 Industrial Blvd,Hayward,CA,US,94545,(510) 264-0175,GMT-08:00 America/Los_Angeles,-122.11,37.63
Starbucks,7031-82427,Safeway - Healdsburg #998,Licensed,"1115 Vine, Vineyard Plaza Shopping Center",Healdsburg,CA,US,954484831,707-431-7102,GMT-08:00 America/Los_Angeles,-122.87,38.61
Starbucks,7400-95966,I-80 & Willow - Hercules,Company Owned,"842 Willow Avenue, N/Q",Hercules,CA,US,945473800,510-245-2166,GMT-08:00 America/Los_Angeles,-122.26,38.02
Starbucks,5432-97282,Safeway-Lafayette #783,Licensed,3540 Mt. Diablo Blvd.,Lafayette,CA,US,945493814,925-283-0228,GMT-08:00 America/Los_Angeles,-122.12,37.89
Starbucks,7425-91943,Larkfield,Company Owned,"4745 Old Redwood Hwy, Larkspur Landing",Larkfield,CA,US,954037516,7075768796,GMT-08:00 America/Los_Angeles,-122.75,38.5
Starbucks,3712-50770,Las Positas & Vasco,Company Owned,223 South Vasco Road,Livermore,CA,US,945519203,925-371-0539,GMT-08:00 America/Los_Angeles,-121.72,37.7
Starbucks,3439-50118,Isabel & Vineyard,Company Owned,"101 East Vineyard Avenue, 135",Livermore,CA,US,945506374,925-846-0259,GMT-08:00 America/Los_Angeles,-121.8,37.65
Starbucks,2799-61300,First & P St.,Company Owned,1472 1st Street,Livermore,CA,US,945504204,(925) 606-5663,GMT-08:00 America/Los_Angeles,-121.78,37.68
Starbucks,2303-86863,Downtown Los Altos,Company Owned,296 Main Street,Los Altos,CA,US,940222908,6509493565,GMT-08:00 America/Los_Angeles,-122.12,37.38
Starbucks,5500-38841,Blossom Hill Pavilion,Company Owned,624 Blossom Hill Road,Los Gatos,CA,US,950324514,408-402-0310,GMT-08:00 America/Los_Angeles,-121.96,37.24
Starbucks,4836-78781,Blossom Hill & Harwood,Company Owned,14180 Blossom Hill Road,Los Gatos,CA,US,95032,408-356-5856,GMT-08:00 America/Los_Angeles,-121.91,37.24
Starbucks,9731-17527,Arnold & Morello,Company Owned,1051 Arnold Drive,Martinez,CA,US,94553,9252934415,GMT-08:00 America/Los_Angeles,-122.11,37.99
Starbucks,4368-80986,Main & North Court,Company Owned,700 Main Street,Martinez,CA,US,945531131,925-228-0553,GMT-08:00 America/Los_Angeles,-122.14,38.02
Starbucks,4728-43966,Santa Cruz Avenue Menlo Park,Company Owned,643-693 Santa Cruz Avenue,Menlo Park,CA,US,940254502,6503235118,GMT-08:00 America/Los_Angeles,-122.18,37.45
Starbucks,5939-49876,Secure Access SLAC,Company Owned,"2575 Sand Hill Rd, Building #047",Menlo Park,CA,US,94025,6502348187,GMT-08:00 America/Los_Angeles,-122.2,37.42
Starbucks,7863-71921,Willow & Hamilton - Menlo Park,Company Owned,1401 Willow,Menlo Park,CA,US,940251414,650-328-7160,GMT-08:00 America/Los_Angeles,-122.15,37.48
Starbucks,1967-27021,Safeway - Mill Valley #2718,Licensed,110 Strawberry Village,Mill Valley,CA,US,949412505,415-360-9016,GMT-08:00 America/Los_Angeles,-122.52,37.9
Starbucks,4077-27264,Calaveras & Park Victoria,Company Owned,1197 East Calaveras Boulevard,Milpitas,CA,US,950355502,408-586-7306,GMT-08:00 America/Los_Angeles,-121.89,37.44
Starbucks,9645-60243,Moraga & Rheem,Company Owned,500 Moraga Road,Moraga,CA,US,945562211,925-377-0523,GMT-08:00 America/Los_Angeles,-122.12,37.86
Starbucks,7535-71772,Vineyard Blvd & Monterey,Company Owned,"251 Vineyard Town Center Way, Coyote Creek Center",Morgan Hill,CA,US,950375673,(408) 779-8692,GMT-08:00 America/Los_Angeles,-121.64,37.11
Starbucks,9112-20446,Cochrane & Hwy 101,Company Owned,1041 Cochrane Road,Morgan Hill,CA,US,950379076,408-776-2061,GMT-08:00 America/Los_Angeles,-121.65,37.16
Starbucks,5172-32554,Shoreline & Pear,Company Owned,"1380 Pear Avenue, Blossom Valley Shopping Center",Mountain View,CA,US,940431360,650-965-2048,GMT-08:00 America/Los_Angeles,-122.08,37.42
Starbucks,8755-60029,Castro & High School,Company Owned,750 Castro St,Mountain View,CA,US,940412015,650-564-9255,GMT-08:00 America/Los_Angeles,-122.08,37.39
Starbucks,1943-56520,Soscol at Hwy 121-Napa,Company Owned,"247 Soscol Avenue, Redwood Plaza",Napa,CA,US,945594007,(707) 226-5251,GMT-08:00 America/Los_Angeles,-122.27,38.28
Starbucks,8770-15518,Hwy 29 & Redwood,Company Owned,2007 Redwood Rd,Napa,CA,US,945583212,707-256-3968,GMT-08:00 America/Los_Angeles,-122.31,38.32
Starbucks,6015-73907,Thornton & Sycamore,Company Owned,7324 Thorton Av,Newark,CA,US,945603647,510-742-8005,GMT-08:00 America/Los_Angeles,-122.04,37.53
Starbucks,9003-52134,San Marin & San Ramon,Company Owned,"127 San Marin Dr, The Village at Novato",Novato,CA,US,949451209,4158975832,GMT-08:00 America/Los_Angeles,-122.6,38.12
Starbucks,4912-66595,Safeway - Novato #2828,Licensed,5720 Nave Drive,Novato,CA,US,949496210,415-881-9256,GMT-08:00 America/Los_Angeles,-122.53,38.06
Starbucks,5485-47843,OAK T -1 Gate 4,Licensed,1 Airport Drive,Oakland,CA,US,946211430,5105633851,GMT-08:00 America/Los_Angeles,-122.21,37.72
Starbucks,3347-63726,2059 Mountain Blvd. - Oakland,Company Owned,2059 Mountain Blvd,Oakland,CA,US,946112815,510-338-1090,GMT-08:00 America/Los_Angeles,-122.21,37.83
Starbucks,9623-68899,Main St & Carol,Company Owned,"2190 Main Street, A",Oakley,CA,US,945613351,925-679-3247,GMT-08:00 America/Los_Angeles,-121.73,38
Starbucks,8299-91621,Moraga & Bryant,Company Owned,"2 Theatre Square, 106",Orinda,CA,US,945633389,925-258-0476,GMT-08:00 America/Los_Angeles,-122.18,37.88
Starbucks,7014-39720,Hwy 1 & Linda Mar - Linda Mar,Company Owned,1227 Linda Mar Shopping Center,Pacifica,CA,US,940443347,650-738-1652,GMT-08:00 America/Los_Angeles,-122.5,37.6
Starbucks,5389-76523,Oceana & Manor,Company Owned,549 Oceana,Pacifica,CA,US,94044,4154702321,GMT-08:00 America/Los_Angeles,-122.49,37.65
Starbucks,1462-67038,Safeway - Pacifica #3008,Licensed,12 Manor Plaza,Pacifica,CA,US,940441800,650-359-2751,GMT-08:00 America/Los_Angeles,-122.49,37.65
Starbucks,5398-28554,Embarcadero & St. Francis,Company Owned,"2190 West Bayshore Road, Ste. 180",Palo Alto,CA,US,94303,650-739-0373,GMT-08:00 America/Los_Angeles,-122.13,37.45
Starbucks,8814-38346,Target Petaluma T-2601,Licensed,401 Kenilworth Dr,Petaluma,CA,US,94952,707-775-6322,GMT-08:00 America/Los_Angeles,-122.63,38.24
Starbucks,2220-65171,Safeway-Petaluma #3011,Licensed,"389 S McDowell Blvd, Parkway Plaza",Petaluma,CA,US,94952,707-762-7872,GMT-08:00 America/Los_Angeles,-122.68,38.28
Starbucks,1779-37707,Sonoma Mountain & Riesling,Company Owned,"701 Sonoma Mountain Pkwy, C12, Petaluma Plaza Shopping Center",Petaluma,CA,US,949548518,707-776-4591,GMT-08:00 America/Los_Angeles,-122.64,38.27
Starbucks,6518-39399,Railroad & Leland,Company Owned,2285 Railroad Avenue,Pittsburg,CA,US,945654924,925-427-3025,GMT-08:00 America/Los_Angeles,-121.89,38.01
Starbucks,8514-64227,Safeway - Pittsburg #1215,Licensed,660 Bailey Road,Pittsburg,CA,US,945654306,925-458-0181,GMT-08:00 America/Los_Angeles,-121.94,38.02
Starbucks,4459-99410,Safeway - Pleasant Hill #928,Licensed,"600 Patterson Blvd., The Crossroads at Pleasant Hill",Pleasant Hill,CA,US,945234155,,GMT-08:00 America/Los_Angeles,-122.07,37.93
Starbucks,7264-72511,Bernal & Stanley - Pleasanton,Company Owned,"3040 Bernal Ave, 320",Pleasanton,CA,US,94566,9255197565,GMT-08:00 America/Los_Angeles,-121.86,37.67
Starbucks,7934-83246,Safeway-Pleasanton #2856,Licensed,"6790 Bernal Ave, Stoneridge Center",Pleasanton,CA,US,94566,925-846-8644,GMT-08:00 America/Los_Angeles,-121.9,37.66
Starbucks,4089-56794,Park Place & Washington,Company Owned,133 Park Place,Point Richmond,CA,US,948013922,5102366021,GMT-08:00 America/Los_Angeles,-122.38,37.93
Starbucks,5436-16930,Woodside & Gordon - Redwood City,Company Owned,820 Woodside Road,Redwood City,CA,US,940613746,650-299-0327,GMT-08:00 America/Los_Angeles,-122.22,37.47
Starbucks,7883-88826,SMF Sac Term A Lower Level Baggage,Licensed,6942 Airport Blvd.,Sacramento,CA,US,958371109,,GMT-08:00 America/Los_Angeles,-121.59,38.69
Starbucks,9536-73146,Safeway-San Anselmo #1723,Licensed,838 Sir Francis Drake Blvd.,San Anselmo,CA,US,949601914,415-456-9157,GMT-08:00 America/Los_Angeles,-122.56,37.98
Starbucks,6293-83733,The Shops at Tanforan,Company Owned,"1150 El Camino Real, Suite 186, Bayhill Shopping Center",San Bruno,CA,US,940662429,650-588-2451,GMT-08:00 America/Los_Angeles,-122.42,37.64
Starbucks,5850-85719,Industrial & Howard,Company Owned,"1135 Industrial Rd., A",San Carlos,CA,US,940704162,650-596-2741,GMT-08:00 America/Los_Angeles,-122.25,37.5
Teavana,2813-87142,Teavana - San Francisco Centre,Company Owned,"865 Market St., #324",San Francisco,CA,US,94103,415-512-7205,GMT-08:00 America/Los_Angeles,-122.41,37.78
Teavana,5464-65704,Teavana - Stonestown Galleria,Company Owned,"3251  20th Ave., #216",San Francisco,CA,US,94132,415-682-8517,GMT-08:00 America/Los_Angeles,-122.48,37.73
Starbucks,2347-48910,Safeway - San Francisco #667,Licensed,5290 Diamond Heights Blvd,San Francisco,CA,US,941312118,415-824-7744,GMT-08:00 America/Los_Angeles,-122.44,37.74
Starbucks,6729-81938,5455 Geary Blvd. - WFB,Company Owned,5455 Geary Blvd,San Francisco,CA,US,941212383,(415) 386-8813,GMT-08:00 America/Los_Angeles,-122.48,37.78
Starbucks,6423-61419,Jones & Jefferson,Company Owned,"2801 Jones S, Ste 111, Stonestown Galleria",San Francisco,CA,US,941331116,415-776-7907,GMT-08:00 America/Los_Angeles,-122.42,37.81
Starbucks,3334-23620,3rd & Evans,Company Owned,"3801 3rd Street, 112",San Francisco,CA,US,94124,415-471-0874,GMT-08:00 America/Los_Angeles,-122.39,37.74
Starbucks,9315-61561,Hyde & Beach,Company Owned,685 Beach Street,San Francisco,CA,US,94109,4154090840,GMT-08:00 America/Los_Angeles,-122.42,37.81
Starbucks,6639-90407,Bay & Taylor,Company Owned,499 Bay Street,San Francisco,CA,US,941331860,415-409-1847,GMT-08:00 America/Los_Angeles,-122.42,37.81
Starbucks,1909-83623,Almaden Center - San Jose,Company Owned,"6471-90 Almaden Expressway, Canyon Creek Plaza",San Jose,CA,US,95120,(408) 323-9511,GMT-08:00 America/Los_Angeles,-121.86,37.22
Starbucks,8535-61878,Silver Creek & Beaumont Canyon,Company Owned,5651 Silver Creek Valley Rd.,San Jose,CA,US,951382473,(408) 274-1055,GMT-08:00 America/Los_Angeles,-121.78,37.29
Starbucks,3258-37164,Alum Rock & White,Company Owned,3103 & 3107 Alum Rock,San Jose,CA,US,95127,408-259-1497,GMT-08:00 America/Los_Angeles,-121.83,37.37
Starbucks,2690-99049,Berryessa & King St,Company Owned,1712 Berryessa Avenue,San Jose,CA,US,951331067,4082544988,GMT-08:00 America/Los_Angeles,-121.87,37.37
Starbucks,4671-61480,W.Santa Clara at San Pedro Sq,Company Owned,145 West Santa Clara Street,San Jose,CA,US,951131705,(408) 288-8803,GMT-08:00 America/Los_Angeles,-121.89,37.34
Starbucks,8623-85071,Story & King,Company Owned,"1110 King Road, 20",San Jose,CA,US,951222118,4089233583,GMT-08:00 America/Los_Angeles,-121.84,37.34
Starbucks,7175-77590,Cottle & Coronado,Company Owned,"5670 Cottle Rd, Bldg S4",San Jose,CA,US,95123,(408) 226-2735,GMT-08:00 America/Los_Angeles,-121.8,37.25
Starbucks,1306-31451,Safeway - San Jose #1483,Licensed,1530 Hamilton Ave.,San Jose,CA,US,951254539,408-264-1523,GMT-08:00 America/Los_Angeles,-121.91,37.29
Starbucks,3325-29692,Target San Jose T-1427,Licensed,"1600 Saratoga Ave, Meridian Glen Center",San Jose,CA,US,95129,408-871-7984,GMT-08:00 America/Los_Angeles,-121.99,37.29
Starbucks,4463-20063,Technology & Metro Drive,Company Owned,"1759 Technology Dr, Ste A, The Alliance Building",San Jose,CA,US,951103813,408-451-9318,GMT-08:00 America/Los_Angeles,-121.92,37.37
Starbucks,6322-32718,Saratoga & Kiely,Company Owned,"405 Saratoga Ave, Suite 10",San Jose,CA,US,95129,408-260-9160,GMT-08:00 America/Los_Angeles,-121.97,37.32
Starbucks,3511-15140,Capitol & Timberloop,Company Owned,605 West Capitol Expressway,San Jose,CA,US,951364069,4084484369,GMT-08:00 America/Los_Angeles,-121.86,37.27
Starbucks,4488-74336,Curtner & Monterey,Company Owned,"175 Curtner Avenue, San Jose Marketcenter",San Jose,CA,US,951251014,408-971-1752,GMT-08:00 America/Los_Angeles,-121.86,37.3
Starbucks,1524-25899,Target San Jose North T-2581,Licensed,"95 Holger Wy, Park & Naglee",San Jose,CA,US,951341372,408-834-1527,GMT-08:00 America/Los_Angeles,-121.96,37.42
Starbucks,7471-96197,Target San Jose T-626,Licensed,"2155 Morrill Ave, Evergreen Commons",San Jose,CA,US,95132,408-946-6791,GMT-08:00 America/Los_Angeles,-121.87,37.41
Starbucks,4199-94792,E 14th & 136th,Company Owned,"13808 E 14th St., A",San Leandro,CA,US,945782633,510-667-0895,GMT-08:00 America/Los_Angeles,-122.14,37.71
Starbucks,1301-21404,17th & El Camino - San Mateo,Company Owned,1701 South El Camino Real,San Mateo,CA,US,944023025,650-357-8176,GMT-08:00 America/Los_Angeles,-122.31,37.55
Starbucks,3375-68666,Peninsula & Delaware - San Mateo,Company Owned,842 North Delaware Street,San Mateo,CA,US,944011504,650-685-8864,GMT-08:00 America/Los_Angeles,-122.33,37.58
Starbucks,5060-83211,DeAnza & Polhemus,Company Owned,111 DeAnza Blvd,San Mateo,CA,US,944023988,(650) 345-0483,GMT-08:00 America/Los_Angeles,-122.34,37.52
Starbucks,2881-92665,San Pablo Dam & I-80,Company Owned,30-A San Pablo Town Center,San Pablo,CA,US,948063967,510-236-1544,GMT-08:00 America/Los_Angeles,-122.33,37.95
Starbucks,2150-69314,Terra Linda at Northgate,Company Owned,260 Northgate One,San Rafael,CA,US,949033416,(415) 492-1928,GMT-08:00 America/Los_Angeles,-122.55,38.01
Starbucks,2425-96325,Safeway - San Rafael #932,Licensed,950 Las Gallinas,San Rafael,CA,US,94903,415-479-6111,GMT-08:00 America/Los_Angeles,-122.55,38.01
Starbucks,5582-15683,Chevron USA Headquarters Lobby,Licensed,"6001 Bollinger Canyon Rd, Magnolia Square Shopping Center",San Ramon,CA,US,94583,9258423651,GMT-08:00 America/Los_Angeles,-121.96,37.76
Starbucks,8007-87025,Safeway - San Ramon #2712,Licensed,"11060 Bollinger Canyon Rd, Country Club Village S.C.",San Ramon,CA,US,945824959,925-359-2005,GMT-08:00 America/Los_Angeles,-121.92,37.77
Starbucks,2159-35882,Alcosta & Village Pkwy,Company Owned,"9150 A Alcosta Blvd, Crow Canyon Place",San Ramon,CA,US,945833854,(925) 803-0554,GMT-08:00 America/Los_Angeles,-121.93,37.73
Starbucks,6839-89372,Washington & Linden,Company Owned,71 Washington Ave,Santa Clara,CA,US,950506138,408-244-3025,GMT-08:00 America/Los_Angeles,-121.94,37.34
Starbucks,9524-73085,Safeway - Santa Clara #1990,Licensed,3970 Rivermark Plaza,Santa Clara,CA,US,950544155,408-855-0980,GMT-08:00 America/Los_Angeles,-121.95,37.39
Starbucks,4668-44353,Target Santa Rosa T-937,Licensed,1980 Santa Rosa Ave,Santa Rosa,CA,US,954077621,707-575-0665,GMT-08:00 America/Los_Angeles,-122.71,38.42
Starbucks,3463-72576,Hwy 12 & Mission,Company Owned,"4575 Sonoma Hwy, Bldg A, Raley's Fulton Marketplace",Santa Rosa,CA,US,954094135,707-539-1010,GMT-08:00 America/Los_Angeles,-122.67,38.46
Starbucks,7993-39893,Yulupa & Bethards,Company Owned,"2755 Yulupa Avenue, Mendocino Marketplace",Santa Rosa,CA,US,954058584,707-545-2738,GMT-08:00 America/Los_Angeles,-122.67,38.43
Starbucks,2771-45028,Target Santa Rosa T-2804,Licensed,950 Coddingtown Ctr,Santa Rosa,CA,US,95401,,GMT-08:00 America/Los_Angeles,-122.76,38.44
Starbucks,9701-65114,Saratoga & Big Basin,Company Owned,"14410 Big Basin Way, Unit D",Saratoga,CA,US,950706036,4087411264,GMT-08:00 America/Los_Angeles,-122.03,37.26
Starbucks,5320-42662,Sausalito,Company Owned,"14-16 Princess Street, Marin Gateway Retail Center",Sausalito,CA,US,949652210,(415) 332-0320,GMT-08:00 America/Los_Angeles,-122.48,37.86
Starbucks,6462-45427,Mt Herman & Springs Lake,Company Owned,"219 Mt Herman Rd, Ste B",Scotts Valley,CA,US,950664021,831-440-1256,GMT-08:00 America/Los_Angeles,-122.03,37.04
